subj.id	condition	trial.per.condition	culture	age.group	gender	trial	z.trial	z.trial.per.condition	condition.process.only	condition.outcome.process	condition.process.only.c	condition.outcome.process.c	culture.US	culture.US.c	age.group.6.7	age.group.adults	age.group.6.7.c	age.group.adults.c	gender.male	gender.male.c	coding
10	subj.10	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
202	subj.10	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
394	subj.10	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
586	subj.10	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
778	subj.10	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
970	subj.10	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
101	subj.101	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	1
293	subj.101	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
485	subj.101	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	1
677	subj.101	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
869	subj.101	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
1061	subj.101	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
103	subj.103	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
295	subj.103	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
487	subj.103	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
679	subj.103	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
871	subj.103	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
1063	subj.103	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
105	subj.105	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
297	subj.105	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
489	subj.105	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
681	subj.105	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
873	subj.105	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
1065	subj.105	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0
