,culture,id,age.group,gender,test.date,counterbalancing.order,trial.nr,condition,story,better.job,better.job.reli,better.job.correct,better.job.correct.reli,better.job.why,better.job.why.cat,better.job.why.cat.reli,help.seeking,help.seeking.reli,help.seeking.correct,help.seeking.correct.reli,help.seeking.why,help.seeking.why.cat,help.seeking.why.cat.reli,comments,age,age.group.sum,sub.id
1,china,1,4,male,9/20/20,process.only,1,process.only,cat,1,1,correct,correct,因为他发现铃铛了,process,process,0,NA,wrong,NA,因为有好多手,other,other,NA,4.210814511,4.5,1.china
2,china,1,4,male,9/20/20,process.only,2,outcome.only,duck,0,0,correct,correct,因为转到黄色，我看到那个鸭子在那个后面了,outcome,outcome,0,NA,correct,NA,因为转到黄色那里了，红衣服的找对位置了,outcome,outcome,NA,4.210814511,4.5,1.china
3,china,1,4,male,9/20/20,process.only,3,outcome.vs.process,dog,0,0,wrong,wrong,因为它跳过那个黄花丛了,outcome,outcome,0,NA,wrong,NA,因为她指对地方了,outcome,outcome,NA,4.210814511,4.5,1.china
4,china,1,4,male,9/20/20,process.only,4,outcome.only,bunny,0,0,correct,correct,因为他弄对地方了,outcome,outcome,0,NA,correct,NA,因为他弄对地方了,outcome,outcome,NA,4.210814511,4.5,1.china
5,china,1,4,male,9/20/20,process.only,5,process.only,hamster,0,0,wrong,wrong,因为我看到那有一个白色的，棕木头里面有个白色的，白色的是仓鼠，她指对地方了,outcome,outcome,0,NA,wrong,NA,因为她指对地方了,outcome,outcome,"for better job question, the kid first replied ""neither of them is good""",4.210814511,4.5,1.china
6,china,1,4,male,9/20/20,process.only,6,outcome.vs.process,bird,0,0,wrong,wrong,因为他指对地方了,outcome,outcome,0,NA,wrong,NA,因为他指对地方了,outcome,outcome,NA,4.210814511,4.5,1.china
7,china,2,4,male,10/13/20,process.only,1,process.only,cat,1,1,correct,correct,因为我看到这里有一个铃铛,process,process,1,1,correct,correct,因为他看见了铃铛,process,process,NA,4.703627652,4.5,2.china
8,china,2,4,male,10/13/20,process.only,2,outcome.only,duck,0,0,correct,correct,因为我都看出来了，黄的栅栏后面已经有小鸭了，这蓝色的就没了,outcome,outcome,0,0,correct,correct,我也看不出来,i don't know,i don't know,NA,4.703627652,4.5,2.china
9,china,2,4,male,10/13/20,process.only,3,outcome.vs.process,dog,0,0,wrong,wrong,因为我刚才看它又从黄色的花丛跳到了粉色的花丛，然后这边没有脚印，我觉得是妞妞。,outcome,outcome,0,0,wrong,wrong,因为我看到粉色的花丛有条狗，跳过来的没有脚印，这边有脚印，所以她才看是这个黄花丛，我看是妞妞选的对。,outcome,outcome,NA,4.703627652,4.5,2.china
10,china,2,4,male,10/13/20,process.only,4,outcome.only,bunny,0,0,correct,correct,因为我看这红石头后面有个兔子,outcome,outcome,0,0,correct,correct,因为他指的是竑石头，他指的是灰石头，这个灰石头后面没有兔子，这个红石头后面有兔子，,outcome,outcome,NA,4.703627652,4.5,2.china
11,china,2,4,male,10/13/20,process.only,5,process.only,hamster,1,1,correct,correct,因为我这个脚印往白木头，这边没有脚印，她指向灰色也没啥用。,process,process,0,0,correct,correct,因为我看脚印往白木头走,process,process,NA,4.703627652,4.5,2.china
12,china,2,4,male,10/13/20,process.only,6,outcome.vs.process,bird,0,0,wrong,wrong,因为他是在墙的那边，我是在墙的这边，我就看出来，鸟在这个蓝墙后面,outcome,outcome,0,0,wrong,wrong,因为鸟在蓝色的墙后面，我觉得就是天宝吧,outcome,outcome,NA,4.703627652,4.5,2.china
